OldName,NewName
A01,01
A02,02
A03,03
A04,04
A05,05
A06,06
A07,07
A08,08
A09,09
A10,10
A11,11
A12,12
B12,13
B11,14
B10,15
B09,16
B08,17
B07,18
B06,19
B05,20
B04,21
B03,22
B02,23
B01,24
C01,25
C02,26
C03,27
C04,28
C05,29
C06,30
C07,31
C08,32
C09,33
C10,34
C11,35
C12,36
D12,37
D11,38
D10,39
D09,40
D08,41
D07,42
D06,43
D05,44
D04,45
D03,46
D02,47
D01,48
E01,49
E02,50
E03,51
E04,52
E05,53
E06,54
E07,55
E08,56
E09,57
E10,58
E11,59
E12,60
F12,61
F11,62
F10,63
F09,64
F08,65
F07,66
F06,67
F05,68
F04,69
F03,70
F02,71
F01,72
G01,73
G02,74
G03,75
G04,76
G05,77
G06,78
G07,79
G08,80
G09,81
G10,82
G11,83
G12,84
H12,85
H11,86
H10,87
H09,88
H08,89
H07,90
H06,91
H05,92
H04,93
H03,94
H02,95
H01,96
